Question;Answer;Incorrect1;Incorrect2;Incorrect3
A barriga llena...; corazón contento.; pocas palabras bastan.; no hay pan duro.; mangas verdes!
A buen entendedor...; pocas palabras bastan.; no hay pan duro.; mangas verdes!; la cebada al rabo.
A buen hambre...; no hay pan duro.; mangas verdes!; la cebada al rabo.; no le mires el diente.
¡A buenas horas...; mangas verdes!; la cebada al rabo.; no le mires el diente.; su San Martín.
A burro muerto...; la cebada al rabo.; no le mires el diente.; su San Martín.; con el mazo dando.
A caballo regalado...; no le mires el diente.; su San Martín.; con el mazo dando.; puente de plata.
A cada cerdo le llega...; su San Martín.; con el mazo dando.; puente de plata.; buenas son tortas.
A Dios rogando y...; con el mazo dando.; puente de plata.; buenas son tortas.; grandes remedios.
A enemigo que huye...; puente de plata.; buenas son tortas.; grandes remedios.; comen los frailes.
A falta de pan...; buenas son tortas.; grandes remedios.; comen los frailes.; la virtud del no dar.
A grandes males...; grandes remedios.; comen los frailes.; la virtud del no dar.; una cosa más.
A gusto de los cocineros...; comen los frailes.; la virtud del no dar.; una cosa más.; la vencida.
A la arrogancia en el pedir...; la virtud del no dar.; una cosa más.; la vencida.; viruelas.
A la cama no te irás sin saber...; una cosa más.; la vencida.; viruelas.; pecho.
A la tercera va...; la vencida.; viruelas.; pecho.; buena cara.
A la vejez...; viruelas.; pecho.; buena cara.; más desengaños.
A lo hecho...; pecho.; buena cara.; más desengaños.; un dulce.
A mal tiempo...; buena cara.; más desengaños.; un dulce.; ese hueso.
A más años...; más desengaños.; un dulce.; ese hueso.; oídos sordos.
A nadie le amarga...; un dulce.; ese hueso.; oídos sordos.; todo son pulgas.
A otro perro con...; ese hueso.; oídos sordos.; todo son pulgas.; de todo le pasa.
A palabras necias...; oídos sordos.; todo son pulgas.; de todo le pasa.; Dios le ayuda.
A perro flaco...; todo son pulgas.; de todo le pasa.; Dios le ayuda.; más le viene.
A quien cuece y amasa...; de todo le pasa.; Dios le ayuda.; más le viene.; rey puesto.
A quien madruga...; Dios le ayuda.; más le viene.; rey puesto.; ganancia de pescadores.
A quien mucho tiene...; más le viene.; rey puesto.; ganancia de pescadores.; menos a no comer.
A rey muerto...; rey puesto.; ganancia de pescadores.; menos a no comer.; el que se está hundiendo.
A río revuelto...; ganancia de pescadores.; menos a no comer.; el que se está hundiendo.; aguas mil.
A todo se acostumbra uno...; menos a no comer.; el que se está hundiendo.; aguas mil.; desafortunado en amores.
A un clavo ardiendo se agarra...; el que se está hundiendo.; aguas mil.; desafortunado en amores.; no mueve molino.
Abril...; aguas mil.; desafortunado en amores.; no mueve molino.; déjala correr.
Afortunado en el juego...; desafortunado en amores.; no mueve molino.; déjala correr.; mañana traidor.
Agua pasada...; no mueve molino.; déjala correr.; mañana traidor.; se le va la liebre.
Agua que no has de beber...; déjala correr.; mañana traidor.; se le va la liebre.; al vino vino.
Ahora adulador...; mañana traidor.; se le va la liebre.; al vino vino.; todo se le vuelven pulgas.
Al mejor cazador...; se le va la liebre.; al vino vino.; todo se le vuelven pulgas.; San Pedro se la bendiga.
Al pan pan y...; al vino vino.; todo se le vuelven pulgas.; San Pedro se la bendiga.; que se rasque.
Al perro flaco...; todo se le vuelven pulgas.; San Pedro se la bendiga.; que se rasque.; para que me entiendas.
Al que Dios se la dé...; San Pedro se la bendiga.; que se rasque.; para que me entiendas.; cuando la bendicen.
Al que le pique...; que se rasque.; para que me entiendas.; cuando la bendicen.; porque no lo es.
Al revés te lo digo...; para que me entiendas.; cuando la bendicen.; porque no lo es.; se paga.
Algo tendrá el agua...; cuando la bendicen.; porque no lo es.; se paga.; son los más queridos.
Amigo por interés no dura...; porque no lo es.; se paga.; son los más queridos.; y ríase la gente.
Amor con amor...; se paga.; son los más queridos.; y ríase la gente.; la más tetuda.
Amores reñidos...; son los más queridos.; y ríase la gente.; la más tetuda.; consúltalo con la almohada.
Ande yo caliente...; y ríase la gente.; la más tetuda.; consúltalo con la almohada.; prometer.
Ante la duda...; la más tetuda.; consúltalo con la almohada.; prometer.; que al cojo.
Antes de hacer nada...; consúltalo con la almohada.; prometer.; que al cojo.; año de bienes.
Antes de meter...; prometer.; que al cojo.; año de bienes.; maestro de nada.
Antes se coge al mentiroso...; que al cojo.; año de bienes.; maestro de nada.; y en el camino nos encontraremos.
Año de nieves...; año de bienes.; maestro de nada.; y en el camino nos encontraremos.; alcánzalo todo.
Aprendiz de mucho...; maestro de nada.; y en el camino nos encontraremos.; alcánzalo todo.; mona se queda.
Arrieros somos...; y en el camino nos encontraremos.; alcánzalo todo.; mona se queda.; a la cazuela.
Asno con oro...; alcánzalo todo.; mona se queda.; a la cazuela.; nunca muere.
Aunque la mona se vista de seda...; mona se queda.; a la cazuela.; nunca muere.; bien acaba.
Ave que vuela...; a la cazuela.; nunca muere.; bien acaba.; quien bien vive.
Bicho malo...; nunca muere.; bien acaba.; quien bien vive.; surco derecho.
Bien está lo que...; bien acaba.; quien bien vive.; surco derecho.; ande o no ande.
Bien predica...; quien bien vive.; surco derecho.; ande o no ande.; a su tiempo.
Buey viejo...; surco derecho.; ande o no ande.; a su tiempo.; con su tema.
Caballo grande...; ande o no ande.; a su tiempo.; con su tema.; su librillo.
